id	artist	album	year	lane	secondary	priority	start_here	lineage
A0001	Spencer Radcliffe	Keeper	2014	C1		Deep cut		An early entry in Radcliffe's long solo catalogue that eventually feeds into the twangier Ohio Vision.
A0002	Ratboys	AOID	2015	C1		Deep cut		Grew out of Steiner and Sagan's college-band beginnings at Notre Dame; set the twangy-indie template the band expanded on GN and Printer's Devil.
A0003	Spencer Radcliffe	Looking In	2015	C1		Deep cut		Sounds part of the same Run for Cover/Topshelf-adjacent 2010s indie underground as Ratboys.
A0004	Ratboys	GN	2017	C1		Recommended		Bridges the band's early alt-country leanings with the bigger, distorted guitar sound they'd bring on Printer's Devil.
A0005	MJ Lenderman	Lucky	2019	C1		Deep cut		Sounds like an early sketch of the bedroom-recorded songwriting Lenderman developed on his Dear Life releases.
A0006	MJ Lenderman	MJ Lenderman	2019	C1		Deep cut		Grew out of Asheville's DIY bedroom-recording scene before Lenderman joined Wednesday full-time; a direct line to the funnier, sadder songwriting of Boat Songs and Manning Fireworks.
A0007	Ratboys	Printer's Devil	2020	C1		Essential		Marks the move from their earlier folk-adjacent sound toward the anthemic guitar rock of The Window and Singin' to an Empty Chair.
A0008	Florry	Big Fall	2021	C1		Recommended		Sounds indebted to Parsons' Cosmic American Music and Neil Young; precedes the caustic barroom twang of The Holey Bible.
A0009	MJ Lenderman	Ghost of Your Guitar Solo	2021	C1		Deep cut		A Dear Life Records release recorded as Lenderman's own songwriting was starting to draw notice alongside his role in Wednesday.
A0010	MJ Lenderman	Knockin'	2021	C1		Deep cut		Fits between Ghost of Your Guitar Solo and Boat Songs as Lenderman's songwriting sharpened toward the deadpan style that broke through in 2022.
A0011	Ratboys	Happy Birthday, Ratboy	2021	C1		Deep cut		A victory-lap record marking Ratboys' first decade before their Chris Walla-produced pivot.
A0012	Trace Mountains	House of Confusion	2021	C1	C7	Recommended		A former LVL UP member's move toward twangier songwriting, released on Philadelphia's Lame-O Records alongside Slaughter Beach, Dog; its country tint sounds akin to the wider indie-twang turn.
A0013	Good Looks	Bummer Year	2022	C1		Essential		Bandleader Tyler Jordan met Jake Ames at Kerrville Folk Festival song swaps (where they also crossed paths with Buck Meek and Adrianne Lenker); Keeled Scales labelmates of Katy Kirby.
A0014	Greg Freeman	I Looked Out	2022	C1		Essential		Part of the Burlington, Vermont scene around Freeman and Lily Seabird; it set up his later label releases.
A0015	MJ Lenderman	Boat Songs	2022	C1		Essential		Builds directly on Neil Young & Crazy Horse's guitar tone and the deadpan-funny-sad lineage of Drag City songwriters; opened the door to Manning Fireworks and his growing profile in Wednesday.
A0016	Thomas Dollbaum	Wellswood	2022	C1		Recommended		Sounds rooted in the alt-country storytelling lineage of Townes Van Zandt and Jason Molina.
A0017	Dari Bay	Longest Day Of The Year	2023	C1		Essential		Part of the same Burlington scene as Greg Freeman; its songwriting sounds indebted to Judee Sill, Alex Chilton and Elliott Smith.
A0018	Florry	Sweet Guitar Solos	2023	C1		Deep cut		Part of the same Dear Life Records-era run of scrappy, caustic Philly country as The Holey Bible.
A0019	Florry	The Holey Bible	2023	C1		Essential	Y	A Dear Life Records release that sounds of a piece with the indie-twang of Greg Freeman and Lily Seabird.
A0020	MJ Lenderman	And the Wind (Live and Loose!)	2023	C1		Recommended		Captures the touring band that would carry over into the Manning Fireworks era, showing how the songs mutate on stage.
A0021	Ratboys	The Window	2023	C1		Essential		Sounds of a piece with Wednesday and MJ Lenderman in the current wave of twangy Midwest/Southern indie rock.
A0022	Squirrel Flower	Tomorrow's Fire	2023	C1		Recommended		Farrar's production ties Squirrel Flower directly into the Asheville Drop of Sun network that also produced Wednesday and MJ Lenderman.
A0023	Brown Horse	Reservoir	2024	C1		Recommended		A UK band that sounds steeped in the American alt-country/Crazy Horse tradition, close in spirit to Wednesday and Greg Freeman.
A0024	The Clearwater Swimmers	The Clearwater Swimmers	2024	C1	C8	Recommended		Sounds indebted to the Neil Young/Crazy Horse and Molina/Magnolia Electric Co. lineage that defines indie twang.
A0025	David Nance & Mowed Sound	David Nance & Mowed Sound	2024	C1		Recommended		Sounds like a Midwest continuation of the Crazy Horse guitar-jam trunk line that also runs through Wednesday and MJ Lenderman.
A0026	Dialup Ghost	May You Live Forever in Cowboy Heaven	2024	C1		Deep cut		Sounds indebted to Neil Young and Silver Jews, sitting within the same trunk lines as the rest of the Core.
A0027	Good Looks	Lived Here For A While	2024	C1		Essential		Continues the band's blue-collar Austin storytelling from Bummer Year into a bigger, more electric sound.
A0028	Merce Lemon	Watch Me Drive Them Dogs Wild	2024	C1		Recommended		Sounds close to the Asheville indie-twang of Florry and Wednesday.
A0029	MJ Lenderman	Manning Fireworks	2024	C1		Essential	Y	Sounds indebted to Neil Young's guitar sound and the funny-sad Drag City songwriting tradition; released the same year he played a key role on Waxahatchee's Tigers Blood.
