# No Expectations leads triaged to lane ? — 26 albums. Format: artist | album | year | label | n_posts | URLs | note
Alta Vista | Won’t Believe in Dust | 2025 |  | 1 | https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
beaming | horseshoe | 2026 |  | 1 | https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Listed without a blurb in the alphabetical honorable-mentions section.
Beck Zegans | Engraving of Armor | 2026 |  | 1 | https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Listed without a blurb in the alphabetical honorable-mentions section.
Blue Earth Sound | Cicero Nights | 2025 |  | 2 | https://www.noexpectations.fyi/p/joyer-cistern-flock-of-dimes-chico-states-album-reviews ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Debut from the ex-NE-HI / Spun Out bandleader's new project, recapped at Sleeping Village.
Braden Lawrence | When You Lose the Light | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Listed among the 40 honorable mentions (positions 61–100) with no blurb.
Cool Original | outtakes from "bad summer" | 2022 |  | 1 | https://www.noexpectations.fyi/p/no-expectations-043-bad-summer | Left-field home-recorded pop with glitchy electronics and vocal samples that is still instantly accessible.
Crosslegged | Another Blue | 2023 |  | 3 | https://www.noexpectations.fyi/p/internet-horror-tom-verlaine-david-berman ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Keba Robinson's left-field pop that feels cutting-edge and like it could have been huge a decade ago; 'Only In The' is the one.
Dylan Day | The Unanswered Prayer | 2025 |  | 1 | https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
El Dorodo | Unincorporated | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list | Honorable mention.
Fishplate | Next Time I Won't Cry | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list | Honorable mention.
ghost orchard | rainbow music | 2022 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according | Listed without blurb among 2022 favorites.
Gummy Fang | Gummy Fang | 2023 |  | 2 | https://www.noexpectations.fyi/p/10-albums-zastava-awning-junk-drawer ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
Justice Hill | Cooler By the Lake | 2025 |  | 2 | https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
Lampland | Get Serene | 2025 |  | 2 | https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
Lane Beckstrom | Looking Out | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Listed among the 40 honorable mentions (positions 61–100) with no blurb.
Les Duck | Love Is The Dirt | 2025 |  | 1 | https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
Lipsticism | Wanted To Show You | 2025 |  | 1 | https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
Mallory Hawk | Chinook | 2026 |  | 1 | https://www.noexpectations.fyi/p/hana-stretton-neptunes-core-bullseye-mallory-hawk | Eclectic solo debut traversing alt-rock, synth-pop and twang.
Orillia | FIRE-WEED | 2025 |  | 1 | https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
Radar Peak | Radar Peak | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Listed among the 40 honorable mentions (positions 61–100) with no blurb.
Riggings | EGG | 2024 |  | 1 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far | Listed without commentary among 30 honorable mentions below the main mid-year list.
The Crime Family | The Shape of Chilling to Come | 2025 |  | 2 | https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
The Stacks | Lay Me Down to Rest | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Listed among the 40 honorable mentions (positions 61–100) with no blurb.
Touch Girl Apple Blossom | Graceful | 2026 |  | 1 | https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Listed without a blurb in the alphabetical honorable-mentions section.
True Green | My Lost Decade | 2024 |  | 1 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far | Listed without commentary among 30 honorable mentions below the main mid-year list.
Various Artists | Red Xerox: Chicago Youth Beat 2020-2025 |  |  | 2 | https://www.noexpectations.fyi/p/i26connector-ellie-o-neill-red-pk-amaya-pena ; https://www.noexpectations.fyi/p/abbey-blackwell-robber-robber-hiding-places-john-andrews-yawns | 12-track vinyl compilation of emerging Chicago bands; release show featured Friko, Free Range, P. Noid, Uniflora, Current Union TM, kitship and TV Buddha.
