# No Expectations leads triaged to lane C7 — 149 albums. Format: artist | album | year | label | n_posts | URLs | note
Alex G | God Save the Animals | 2022 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according | Terry calls him an essential artist whose imitators capture either his gentleness or his menace but never both; 'Runner' is his favorite Alex G song.
Alex G | Headlights | 2025 | RCA | 2 | https://www.noexpectations.fyi/p/phish-united-center-review-2025-new-music ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Intimate, warped-but-hi-fi indie rock merging folk palatability with menace; latter-day R.E.M. and Daniel Johnston nods.
Alex G | House of Sugar | 2019 |  | 1 | https://www.noexpectations.fyi/p/grapetooth-dehd-worlds-fair-feeble-little-horse | The album that involuntarily soundtracks Terry's memory of 2019.
Alvvays | Blue Rev | 2022 |  | 3 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according ; https://www.noexpectations.fyi/p/best-tv-shows-2022 ; https://www.noexpectations.fyi/p/pitchfork-music-festival-2023-preview | Terry liked it less than his peers did and suspects it needs a live setting to click.
Astrachan | Signs | 2025 |  | 2 | https://www.noexpectations.fyi/p/liam-kazar-astrachan-zook-h-pruz-belair-lip-bombs ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Maximalist, ambitious rock stacking wailing guitars and '60s/'70s melodic twists in off-kilter ways.
Awning | Awning | 2025 |  | 2 | https://www.noexpectations.fyi/p/10-albums-zastava-awning-junk-drawer ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Eight punchy, airtight songs swinging from loud to whispered, like a less brooding Truth Club.
Beach Bunny | Emotional Creature | 2022 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according | Listed without blurb among 2022 favorites.
Bonny Doon | Let It Win | 2025 |  | 1 | https://www.noexpectations.fyi/p/smirk-dari-bay-la-securite-palefire-laceles | Conversational folk rock that is breezy, rocking and emotionally devastating at once.
Bonny Doon | Let There Be Music | 2023 | ANTI- | 3 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list ; https://www.noexpectations.fyi/p/pitchfork-music-festival-2023-preview ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Detroit band's ANTI- debut is their breeziest and most accessible, less introspective than Longwave and less hungover than the debut, with lyrics that sneak up on you.
Bullseye | Bullseye | 2026 | Ever/Never | 1 | https://www.noexpectations.fyi/p/hana-stretton-neptunes-core-bullseye-mallory-hawk | Just hooky, jangly and twangy enough power-pop rock with blistering riffs and meaty choruses.
Cash Langdon | Dogs | 2025 | Born Yesterday | 5 | https://www.noexpectations.fyi/p/uwade-mei-semones-colin-miller-eli-winter ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/new-lps-orbital-ensemble-shoulderbird-plusser | Loud, relentlessly hooky rock channeling Summerteeth-era Wilco and Ty Segall's frantic energy.
Casper Skulls | Kit-Cat | 2025 |  | 3 | https://www.noexpectations.fyi/p/brown-horse-mamalarky-neu-blume-finnish-postcard-casper-skulls ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | College-radio love with lived-in dual-vocal chemistry drawn from Pavement, R.E.M. and Superchunk.
Cende | #1 Hit Single | 2017 |  | 1 | https://www.noexpectations.fyi/p/smirk-dari-bay-la-securite-palefire-laceles | Frantic power pop; his favorite album of 2017.
Dari Bay | Surprise Wish | 2026 |  | 2 | https://www.noexpectations.fyi/p/smirk-dari-bay-la-securite-palefire-laceles ; https://www.noexpectations.fyi/p/hana-stretton-neptunes-core-bullseye-mallory-hawk | Slacker-tinged power pop with fuzzed-out rockers, rhythmic left turns and bedroom-pop atmospherics.
Daughter of Swords | Alex | 2025 |  | 2 | https://www.noexpectations.fyi/p/reviews-pry-blasucci-lifeguard-daughter-swords-niemi ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Mountain Man's Alex Sauser-Monnig makes kinetic off-kilter pop evoking Talking Heads, Finom and Sheryl Crow.
Dazy | OUTOFBODY | 2022 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according | No-second-wasted fuzzed-out rock with huge hooks, like Fountains of Wayne played at ear-shattering volume; 12 songs in 26 minutes.
Dialup Ghost | Donkey Howdy | 2026 |  | 2 | https://www.noexpectations.fyi/p/resavoir-spencer-hoffman-vega-dialup-ghost ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Looser, fuzzed-out off-kilter indie rock where riffs and synths replace the pedal steel and fiddle of earlier records; Bandcamp-only.
Diners | DOMINO | 2023 |  | 1 | https://www.noexpectations.fyi/p/new-albums-jeff-rosenstock-diners-buck-meek | Blue Broderick's full-power-pop LP of impeccably written breezy guitar pop, produced by Mo Troper, with audible Petty, Big Star and Fountains of Wayne DNA.
Discus | To Relate To | 2025 |  | 4 | https://www.noexpectations.fyi/p/new-lps-lucky-cloud-sharp-pins-macie-stewart-free-range ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/no-expectations-116-be-here-now | Sparkling guitar pop with warm conversational vocals and laid-back intricate arrangements, for Clientele/Wild Nothing/Real Estate fans.
Double Extra Large | Other People | 2026 |  | 2 | https://www.noexpectations.fyi/p/gawshock-gia-margaret-carla-dal-forno-double-extra-large ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Listed without a blurb in the alphabetical honorable-mentions section.
Ducks Ltd. | Harm's Way | 2024 | Carpark | 6 | https://www.noexpectations.fyi/p/the-most-anticipated-albums-of-2024 ; https://www.noexpectations.fyi/p/always-listen-to-your-friends-recommendations ; https://www.noexpectations.fyi/p/new-music-little-kid-hemlock-bnny-hour | Precise, propulsive jangle-pop in the '80s college-rock line with careening riffs and power-pop melodies (Terry wrote its bio).
Ducks Ltd. | The Sincerest Form of Flattery | 2023 |  | 1 | https://www.noexpectations.fyi/p/visas-for-foreign-touring-bands-movie-tickets | Toronto jangle band (one of the best going) interviewed about visa costs; collaborative covers series with Mo Troper, Illuminati Hotties, Ratboys; touring with Archers of Loaf.
Dusk | Glass Pastures | 2023 |  | 2 | https://www.noexpectations.fyi/p/best-new-albums-dusk-golden-apples-wilco ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Appleton, Wisconsin's fantastic bar band with Petty-esque swagger and rambunctious, freewheeling indie rock.
