# No Expectations leads triaged to lane V22 — 14 albums. Format: artist | album | year | label | n_posts | URLs | note
Bob Dylan | Before the Flood |  |  | 1 | https://www.noexpectations.fyi/p/in-defense-of-live-albums | Not the best Dylan LP but an instant hit of serotonin.
Bob Dylan | Blood on the Tracks |  |  | 1 | https://www.noexpectations.fyi/p/the-no-expectations-reader-year-in-review-2023 | Terry notes Dylan's claim that the album was a concept record based on Chekhov stories.
Bob Dylan | Empire Burlesque |  |  | 1 | https://www.noexpectations.fyi/p/friendship-dan-wriggins-caveman-wakes-up-interview | Home of Wriggins' favorite Dylan song 'Dark Eyes'.
Bob Dylan | John Wesley Harding | 1967 |  | 1 | https://www.noexpectations.fyi/p/visas-for-foreign-touring-bands-movie-tickets | Starting point of the Jokermen podcast's album-by-album run through post-1967 Dylan that Terry credits with reshaping how he listens.
Bob Dylan | Love and Theft |  |  | 1 | https://www.noexpectations.fyi/p/visas-for-foreign-touring-bands-movie-tickets | Late-career Dylan Terry has long championed.
Bob Dylan | Nashville Skyline |  |  | 1 | https://www.noexpectations.fyi/p/best-country-albums-of-2024 | Named among the records that brought Terry back toward country.
Bob Dylan | New Morning | 1970 |  | 1 | https://www.noexpectations.fyi/p/the-no-expectations-reader-year-in-review-2023 | One of three LPs Dylan writes about in Chronicles, which Terry praises for its prose; New Morning and Oh Mercy sections cited.
Bob Dylan | Oh Mercy | 1989 |  | 2 | https://www.noexpectations.fyi/p/visas-for-foreign-touring-bands-movie-tickets ; https://www.noexpectations.fyi/p/the-no-expectations-reader-year-in-review-2023 | Cited for 'Most of the Time' as proof latter-day overlooked LPs hold some of the best stuff.
Bob Dylan | Planet Waves |  |  | 2 | https://www.noexpectations.fyi/p/visas-for-foreign-touring-bands-movie-tickets ; https://www.noexpectations.fyi/p/friendship-dan-wriggins-caveman-wakes-up-interview | A personal favorite Terry once only praised drunk and now praises soberly thanks to Jokermen.
Bob Dylan | Rough and Rowdy Ways | 2020 |  | 1 | https://www.noexpectations.fyi/p/sufjan-stevens-albums-ranked-javelin-illinois | Phenomenally direct yet subtle late LP; live, 'Key West' and 'I've Made Up My Mind to Give Myself to You' were highlights, with covers of Paul Butterfield's 'Born in Chicago' and Muddy Waters.
Bob Dylan | Tempest | 2012 |  | 1 | https://www.noexpectations.fyi/p/the-no-expectations-reader-year-in-review-2023 | Terry objected aloud to Rob Sheffield's dismissal of 'Roll On John'.
Bob Dylan | The Complete Budokan 1978 | 2023 |  | 1 | https://www.noexpectations.fyi/p/in-defense-of-live-albums | Recent box set Terry has been digging into.
Bob Dylan | Time Out of Mind |  |  | 1 | https://www.noexpectations.fyi/p/visas-for-foreign-touring-bands-movie-tickets | Late-career Dylan Terry has long championed.
The Band | Rock of Ages |  |  | 1 | https://www.noexpectations.fyi/p/in-defense-of-live-albums | The Band release Terry revisits most, mentioned alongside an annual rewatch of The Last Waltz with Dr. John's 'Such a Night'.
