# No Expectations leads triaged to lane V27 — 11 albums. Format: artist | album | year | label | n_posts | URLs | note
Grateful Dead | American Beauty | 1970 |  | 2 | https://www.noexpectations.fyi/p/sufjan-stevens-albums-ranked-javelin-illinois ; https://www.noexpectations.fyi/p/dead-and-company-sphere-review-vegas-grateful | Revisited during Terry's Dead phase alongside Workingman's Dead and the Long Strange Trip documentary; 'Althea' cited.
Grateful Dead | Binghamton 5/2/70 (live) |  |  | 1 | https://www.noexpectations.fyi/p/dead-and-company-sphere-review-vegas-grateful | Recommended as an accessible entry point for folk-oriented listeners.
Grateful Dead | Built to Last | 1989 |  | 1 | https://www.noexpectations.fyi/p/dead-and-company-sphere-review-vegas-grateful | Late studio LP folded into his catalog-wide appreciation.
Grateful Dead | Cornell 5/8/77 |  |  | 2 | https://www.noexpectations.fyi/p/always-listen-to-your-friends-recommendations ; https://www.noexpectations.fyi/p/dead-and-company-sphere-review-vegas-grateful | The one Dead recording he already knew before a friend's Wall of Sound research pulled him in.
Grateful Dead | Dick's Picks |  |  | 1 | https://www.noexpectations.fyi/p/how-to-break-musical-ruts-deer-tick-mmj | Terry's cure for a rut this year was diving into the Dead's sprawling catalog and working through all 36 Dick's Picks live LPs.
Grateful Dead | Dick's Picks (series) |  |  | 1 | https://www.noexpectations.fyi/p/dead-and-company-sphere-review-vegas-grateful | Archival live series he binged: scorching '68 sets, pristine '77 guitar rock, awful '92 covers.
Grateful Dead | Go To Nassau |  |  | 1 | https://www.noexpectations.fyi/p/dead-and-company-sphere-review-vegas-grateful | Praised for an all-timer version of Althea.
Grateful Dead | Reckoning |  |  | 1 | https://www.noexpectations.fyi/p/dead-and-company-sphere-review-vegas-grateful | Recommended to listeners who want stripped-down folk.
Grateful Dead | The Grateful Dead | 1967 |  | 1 | https://www.noexpectations.fyi/p/dead-and-company-sphere-review-vegas-grateful | Debut-era material he appreciates within the broad catalog.
Grateful Dead | Without a Net |  |  | 1 | https://www.noexpectations.fyi/p/dead-and-company-sphere-review-vegas-grateful | Live album in his listening regimen.
Grateful Dead | Workingman's Dead | 1970 |  | 2 | https://www.noexpectations.fyi/p/sufjan-stevens-albums-ranked-javelin-illinois ; https://www.noexpectations.fyi/p/dead-and-company-sphere-review-vegas-grateful | Named with American Beauty as the essential Dead records he is living with.
