# No Expectations leads triaged to lane V4 — 17 albums. Format: artist | album | year | label | n_posts | URLs | note
Deer Tick | Contractual Obligations | 2024 |  | 1 | https://www.noexpectations.fyi/p/new-albums-clairo-billy-strings-sturgill | EP listed without description among seven more good LPs of the week.
Deer Tick | Emotional Contracts | 2023 |  | 4 | https://www.noexpectations.fyi/p/jury-duty-steely-dan-book-review ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list ; https://www.noexpectations.fyi/p/how-to-break-musical-ruts-deer-tick-mmj | Great June LP; set mixed new songs with standards like 'The Dream's in the Ditch' and 'Ashamed', and Terry says few late-aughts bands have aged so gracefully.
Deer Tick | Live From Fort Adams |  |  | 1 | https://www.noexpectations.fyi/p/in-defense-of-live-albums | Named among semi-recent stellar live releases.
Jeff Tweedy | Twilight Override | 2025 |  | 2 | https://www.noexpectations.fyi/p/geese-getting-killed-jeff-tweedy-review ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Varied, dynamic triple album cut at the Loft with his sons, from achy erratic thump to rock'n'roll catharsis and dreamy spoken word.
My Morning Jacket | Evil Urges | 2008 |  | 1 | https://www.noexpectations.fyi/p/how-to-break-musical-ruts-deer-tick-mmj | Five tracks played the night Terry attended.
My Morning Jacket | It Still Moves | 2003 |  | 1 | https://www.noexpectations.fyi/p/how-to-break-musical-ruts-deer-tick-mmj | The record that first hooked Terry; still the backbone of his fandom.
My Morning Jacket | The Waterfall | 2015 |  | 1 | https://www.noexpectations.fyi/p/how-to-break-musical-ruts-deer-tick-mmj | 'Compound Fracture' singled out.
My Morning Jacket | Z |  |  | 1 | https://www.noexpectations.fyi/p/how-to-break-musical-ruts-deer-tick-mmj | Played in full at earlier shows in the residency.
Phosphorescent | Muchacho | 2013 |  | 1 | https://www.noexpectations.fyi/p/no-expectations-045-ice-fishing | First full-band show since the pandemic, with 'Song for Zula' plus Randy Newman and Robert Earl Keen covers; Terry ranks Muchacho among the century's best.
Tweedy | Sukierae |  |  | 1 | https://www.noexpectations.fyi/p/grapetooth-dehd-worlds-fair-feeble-little-horse | The Jeff and Spencer Tweedy record Spencer was promoting when Terry first interviewed him at RedEye.
Wilco | A Ghost Is Born |  |  | 1 | https://www.noexpectations.fyi/p/how-to-interview-your-favorite-band | Named among the Wilco records Terry grew up on.
Wilco | Cousin | 2023 |  | 2 | https://www.noexpectations.fyi/p/how-to-interview-your-favorite-band ; https://www.noexpectations.fyi/p/best-new-albums-dusk-golden-apples-wilco | Cate Le Bon-produced LP previewed by 'Evicted', which hits every mark; Terry is more excited than for any Wilco record in a decade and calls them probably his favorite band ever.
Wilco | Cruel Country | 2022 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according | Listed without blurb among 2022 favorites.
Wilco | Kicking Television |  |  | 1 | https://www.noexpectations.fyi/p/in-defense-of-live-albums | Classic live effort Terry has been revisiting.
Wilco | Ode to Joy | 2019 |  | 1 | https://www.noexpectations.fyi/p/best-new-albums-dusk-golden-apples-wilco | Referenced in the Metro recap as the prior full-length.
Wilco | Summerteeth |  |  | 1 | https://www.noexpectations.fyi/p/how-to-interview-your-favorite-band | Named with Yankee Hotel Foxtrot and A Ghost Is Born as the records that made Terry a devotee.
Wilco | Yankee Hotel Foxtrot |  |  | 3 | https://www.noexpectations.fyi/p/how-to-interview-your-favorite-band ; https://www.noexpectations.fyi/p/katy-kirby-blue-raspberry-interview ; https://www.noexpectations.fyi/p/foxwarren-2-interview-andy-shauf-avery-kissick | Via the I Am Trying to Break Your Heart doc, taught Shauf that simple folk songs can become anything in the studio.
