0	C7	Alex G core slacker
1	C5	Big Thief core twangy folk
2	C2	Zevon-ish piano snark storyteller
3	C5	subdued folk-rock strings pedal steel
4	C7	fuzz power pop
5	X10	Chicago scene indie no twang
6	X10	arena indie rock scene-not-sound
7	OUT	neoperreo club pop
8	C6	AM-radio 70s Nashville songwriter
9	C1	Texas plainspoken ripping guitar rock
10	C7	Chicago teen indie rock
11	V6	HFTRR named V6 artist
12	C2	unfussy twangy dirtwave songwriter
13	OUT	rap
14	OUT	R&B pop
15	C6	Morby named C6 artist
16	X1	mainstream Nashville
17	C7	power pop post-punk split
18	X10	heavy weird noise rock
19	C7	art rock jangle Fire Talk borderline
20	X10	Chicago punk
21	C1	Lenderman core
22	OUT	left-field R&B
23	OUT	rap sing genre-hopper
24	OUT	Italian funk disco
25	OUT	art pop
26	OUT	UK Stereolab Portishead indie
27	X14	PUP punk
28	OUT	R&B
29	C5	spooky western folk-noir borderline
30	OUT	rap
31	X6	Foxing frontman emo adjacent
32	OUT	rap
33	OUT	rap
34	C5	Elliott Smith harmony folk pop
35	V7	Childers neo-traditional
36	X10	post-punk indie pop
37	C6	Whitney pop turn borderline
38	C6	extended guitar jams
39	X2	Zach Bryan arena Americana
40	C5	Chicago hushed twangy folk
41	OUT	R&B
42	C7	guitar pop hooks borderline
43	C5	folk-rock singer-songwriter
44	C7	90s alt indie rock borderline
45	C8	Friendship named C8
46	C5	lo-fi folk
47	OUT	soft pop
48	V4	Wilco 1999+
49	C7	jangle dream pop
50	X10	genre-hopping scene indie
51	OUT	synth pop
52	X10	noise rock Fugazi
53	OUT	jazz
54	C5	Philly hushed folk
55	C9	Friko named C9
56	X10	Ganser post-punk
57	?	bedroom pop unclear path
58	C5	Toronto folk rock songwriter
59	OUT	R&B pop
60	X10	Chicago psych scene band
61	C7	throwback indie rock
62	C7	throwback indie rock
63	C7	Alex G
64	X14	PUP punk
65	OUT	synth pop
66	V2	Royal Trux borderline Drag City
67	V2	Royal Trux borderline
68	V2	Royal Trux borderline
69	V2	Royal Trux noise borderline
70	V2	Drag City wry pop rock
71	OUT	Iggy Pop
72	V4	Tweedy
73	C6	transcendental twang jam
74	OUT	Eurovision rock
75	OUT	Cate Le Bon art pop
76	C1	Vermont Freeman crew hooky twang
77	C1	Freeman core
78	C1	Florry core
79	?	left-field pop unclear
80	X10	Television proto post-punk
81	C7	jangle
82	X10	De Souza scene-not-sound
83	V22	Dylan
84	V22	Dylan
85	V22	Dylan
86	V22	Dylan
87	V22	Dylan
88	X6	Australian emo-leaning indie
89	C5	Elliott Smith Lomelda folk
90	C5	Villagerrr named C5
91	C7	bedroom Big Star
92	X9	noise pop glitch
93	C8	Sluice named C8
94	C5	Montreal folk
95	OUT	Primus
96	OUT	Primus
97	OUT	comedy songwriter
98	OUT	joke songs
99	C7	crunchy guitars big choruses
100	C5	poet folk debut
101	X10	post-punk
102	X3	mainstream-leaning swampy Americana
103	C7	conversational indie rock
104	OUT	rap
105	C5	pedal steel clean-toned folk
106	C7	euphoric indie pop
107	C5	Cornfield named C5
108	OUT	rap
109	C3	confident country turn
110	C5	early confessional folk
111	OUT	psych pop
112	X5	knotty freak-folk-ish rock
113	C6	Morby companion
114	V4	Deer Tick named V4
115	C7	wook shoegaze off-kilter rock
116	C7	outsider pop indie rock
117	V8	instrumental pedal steel Americana
118	OUT	ambient
119	C6	Callahan Vile cosmic Portland
120	OUT	rap
121	OUT	pop
122	X10	post-punk
123	C8	quiet homespun grainy
124	C7	Bonny Doon named C7
125	C9	Cusp named C9
126	OUT	rap
127	OUT	instrumental piano ambient
128	C8	subdued twangy Alex G Townes
129	C9	emo with Dylan cues
130	C7	power pop punk hooks
131	C5	Nashville folk Hartford cover borderline
132	X10	Saddle Creek hooky scene indie
133	OUT	R&B
134	C4	Wednesday
135	C4	Wednesday
136	X10	knotty Brooklyn art rock
137	OUT	experimental cello
138	OUT	dreamy piano indie
139	C5	Chicago folk voice
140	V3	Isbell DBT orbit
141	OUT	outsider keyboard pop
142	C2	Poole named C2
143	OUT	metal
144	?	unknown band
145	X9	bedroom shoegaze
146	?	unknown band
147	C5	Horn named C5
148	OUT	art rock
149	C7	mellow pastoral guitar pop
150	C7	Smushie madcap oddball pop
151	X10	Shame post-punk
152	C8	Villagerrr side project lo-fi twang
153	OUT	synth punk
154	X14	punk hard rock
155	X14	hardcore pop
156	C5	confessional acoustic folk
157	C3	Tobacco City
158	C7	Slow Pulp named C7
159	C1	Ratboys named C1
160	C1	Freeman
161	C7	Grand Rapids guitar pop
162	C7	Grand Rapids guitar pop
163	OUT	genre-crossing pop
164	OUT	Radiohead offshoot
165	X10	Deeper post-punk
166	X10	atmospheric scene indie
167	OUT	pop
168	V5	Bon Iver named V5
169	C7	duplicate Kesey entry
170	V5	Bon Iver
171	V4	Wilco 1999+
172	V4	Wilco 1999+
173	V4	Wilco 1999+
174	V4	Wilco 1999+
175	OUT	psych noise pop
176	C5	Katy Kirby folk
177	C7	soft rock harmonies borderline
178	C1	Florry
179	V2	Oldham Drag City
180	X10	Atlanta post-punk
181	OUT	alt radio 2000s
182	OUT	pop
183	C7	power pop
184	X14	Rosenstock punk
185	C5	Big Thief guitarist folk rock
186	X9	Slowdive
187	X9	Slowdive
188	OUT	Vampire Weekend rule
189	OUT	Vampire Weekend
190	OUT	Vampire Weekend
191	OUT	Vampire Weekend
192	X12	Mitski country-tinged turn
193	C7	Slow Pulp debut
194	V13	Lucinda Williams
195	X5	cult psych folk ancestor
196	C3	banjo alt-country EP
197	C9	Slaughter Beach Dog named C9
198	C8	Squirrel Flower named C8 though louder
199	OUT	electronic turn
200	C7	emo-tinged dreamy indie rock
201	?	glitchy home pop unclear
202	OUT	jazz fusion
203	C7	Graham Hunt named C7
204	C8	hemlock named C8
205	OUT	bedroom pop
206	C7	Kiwi jr named C7
207	C5	homespun folk
208	C5	classic-lineage folk art song
209	C7	power pop
210	C8	sparse slow-burn indie
211	X10	off-kilter math rock
212	X10	Louisville post-punk
